,sentence_Question,sentence_Answer,topic,sentiment
19,are the symptoms of covid-19 different in children than in adults,"no. the symptoms of covid-19 are similar in children and adults. however, children with confirmed covid-19 have generally presented with mild symptoms.",6,0
20,should i worry about covid-19,"illness due to covid-19 infection is generally mild, especially for children and young adults. however, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. it is therefore quite normal for people to worry about how the covid-19 outbreak will affect them and their loved ones.",6,0
21,who is at risk of developing severe illness,"while we are still learning about how covid-2019 affects people, older persons and persons with pre-existing medical conditions.  appear to develop serious illness more often than others.",6,0
22,"is there a vaccine, drug or treatment for covid-19","not yet. to date, there is no vaccine and no specific antiviral medicine to prevent or treat covid-2019.",3,0
23,should i wear a mask to protect myself from catching the covid-19 virus,only wear a mask if you are ill with covid-19 symptoms.  or looking after someone who may have covid-19.,2,0
24,until when should i wear a mask after recovering from an illness with respiratory symptoms,"in order to avoid infecting others, you should use a mask for as long as you are still coughing or sneezing. you should only stop after a complete recovery..",2,0
25,how long is the incubation period for covid-19,"most estimates of the incubation period for covid-19 range from 1- 14 days, most commonly around five days.",1,1
26,can humans become infected with the covid-19 from animal source,possible animal sources of covid-19 have not yet been confirmed.,6,0
27,how long does the virus survive on surfaces,studies suggest that coronaviruses.  may persist on surfaces for a few hours or up to several days. this may vary under different conditions..,6,1
28,what alternatives do i have if there are no hand sanitizers available,"if hand sanitizers are not available, hand washing with soap and water is the recommended, and even better, alternative.",1,2
29,can people who recover from covid-19 be infected again,"we know that for similar coronaviruses, infected people are unlikely to be re-infected shortly after they recover. however, because the immune response to covid-19 is not yet understood, it is not yet known whether similar immune protection will be observed for patients who have recovered from covid-19.",2,0
30,is it safe to receive a package from an area where covid-19 has been reported,"yes. the likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes covid-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low.",6,0
31,is there a connection between covid -19 and environment temperature,"it is not known yet if weather and temperature changes impact or has any connection with covid-19. at this time, it is not clear or known if the spread of covid-19 will decrease when the weather becomes warmer.",3,1
32,can i catch the virus from being in an enclosed space.  in close proximity to someone who doesn’t have respiratory symptoms,"since the virus is transmitted through respiratory droplets, the risk of catching it from somebody who is asymptomatic, even a contact of a confirmed covid-19 case, is low.",0,0
33,should i start avoiding people of asian descent and their businesses,"the virus can affect anyone regardless of nationality, race and color. the organization will not tolerate discrimination and encourages everyone to promote culturally appropriate and empathetic community engagement and to detect and rapidly respond to negative public perceptions and counter misinformation.",2,2
34,"when should we identify ourselves as ""being sick"" and stay at home","although a fever is a sure sign that you are sick enough not to come to work, anyone experiencing respiratory symptoms like coughing and sneezing should stay at home.",2,0
35,should i get a face mask,cdc recommends wearing cloth face coverings? in public settings where other social distancing measures are difficult to maintain.  especially in areas of significant community-based transmission.,2,2
36,can i make my own hand sanitizer,there are no studies supporting the effectiveness of homemade hand sanitizer blend in killing the new coronavirus on people’s hands.,3,2
37,can coronavirus live on objects,"although the new coronavirus weakens and dies over time outside of the human body, studies suggest that it can live on surfaces for a few hours or up to several days, depending on surface, temperature and other environmental factors.",6,0
38,is it safe to order take-out,"according to the? food and drug administration. ,? there have not been any cases of covid-19 known to be caused from eating food or handling food packaging.",3,2
39,is grocery shopping safe during the coronavirus pandemic,"it’s best not to make unnecessary trips, but if you need to go to a grocery store, it’s important to maintain social and physical distancing as you shop, and to clean your hands often while shopping and as soon as you get home.",0,2
40,can humans get coronavirus from dogs or cats,"despite the very few reports worldwide, including here in the united states, of sick and healthy domestic animals, including pets, testing positive for sars-co. v-2, the official name for the virus that causes covid-19, there is little evidence at this time that such animals are easily infected with the virus under normal conditions, or could transmit it.",5,2
41,what is coronavirus fatality rate,"right now, it appears that covid-19, the disease caused by the new coronavirus, causes more cases of severe disease and more deaths than the seasonal flu. people over age 85 have the highest risk of fatality and children under 19, the lowest, but this could change as more people are tested and trends become clearer.?",2,0
42,can coronavirus live in heat,several countries currently affected by the new coronavirus outbreak are experiencing summer weather.,2,0
43,what’s the difference between the new coronavirus and other coronaviruses,"the new coronavirus is different from these, and was only identified in december 2019.",0,1
44,what is the source of the virus,"early on, many of the patients at the epicenter of the covid-19 outbreak in china had some link to a large seafood and live animal market, suggesting animal-to-person spread.",3,1
45,what does it mean that covid-19 is a global pandemic,a pandemic is a global outbreak of disease. pandemics happen when a new virus emerges to infect people and can spread between people.,2,1
46,what are the symptoms of covid-2019,"people who are infected with covid-19 have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2-14 days after exposure.",6,0
47,can someone spread the virus without being sick,some spread might be possible before people show symptoms.?,6,2
48,what does the governor’s stay at home order mean,"a stay at home order directs illinoisans to stop movements outside of their homes beyond essential needs. by limiting social interactions, the chance of spreading covid-19 is greatly reduced.",0,0
49,what is social distancing,social distancing is deliberately increasing the physical space between people to avoid spreading illness.,0,0
50,can i go outdoors,"yes, go outdoors for fresh air and exercise. ride a bike, walk the dog, go for a hike, jog. social distancing does not mean staying indoors, it means avoiding close contact with people.",5,2
51,should i wear a facemask,cover your mouth and nose with a cloth face cover when around others.,1,1
52,what steps should parents take to protect children,discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of covid-19 in the community. encourage frequent handwashing and follow other prevention tips.,5,2
53,who is at higher risk,older adults and people of any age who have serious underlying medical conditions may be at higher risk for more serious complications from covid-19.,6,0
54,should i clean “high touch” surfaces,"clean and disinfect frequently touched surfaces, such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets and sinks.?",6,2
55,is there a vaccine,"no. currently, there is not a vaccine for covid-19.",3,0
56,what are the treatments for covid-19,"currently, there are no specific treatments recommended for illnesses caused by covid-19. medical care is supportive to help relieve symptoms.",3,2
57,can i get covid-19 from my pet,"currently, there is no evidence that animals play a significant role in spreading the virus that causes covid-19. based on the limited information available to date, the risk of animals spreading covid-19 to people is considered to be low.?",2,0
58,can animals carry the virus that causes covid-19 on their skin or fur,"although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes covid-19, can spread to people from the skin, fur, or hair of pets.",2,0
59,what is coronavirus disease 2019.,coronavirus disease 2019.  is a respiratory illness that can spread from person to person.,4,0
60,how can i prevent covid-19,the best way to prevent illness is to avoid being exposed to the virus.,0,2
61,should i wear a face covering or face mask when i go out in public,cdc recommends wearing cloth face coverings in public when other social distancing measures are difficult to maintain.  especially in areas of significant community-based transmission of the coronavirus.,2,2
62,what treatments are available for covid-19,people with covid-19 should receive supportive care to help relieve symptoms. people with mild symptoms are able to recover at home.,5,2
63,"can disinfectant sprays or wipes be used on my skin, injected, inhaled, or ingested to prevent or treat covid-19","no. always follow the instructions on household cleaners. disinfectant sprays or wipes are intended for use on hard, non-porous surfaces. disinfectant sprays or wipes are not intended for use on humans or animals. do not use disinfectant sprays or wipes on your skin because they may cause skin and eye irritation. do not inject, inhale, or ingest disinfectant sprays or household cleaners; doing so is dangerous and may cause serious harm or death. if ingested, call poison control or a medical professional immediately.",3,0
64,where can i buy hand sanitizer,many retail stores and pharmacies sell hand sanitizers.,1,2
65,"if i can't find it in the store, can i make my own",the fda does not recommend that consumers make their own hand sanitizer.,0,2
66,what do if i get a rash or other reaction to hand sanitizer,call your doctor if you experience a serious reaction to hand sanitizer. fda encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the fda’s med. watch adverse event reporting program.,3,2
67,where can i report websites selling fraudulent medical products,"you can report websites selling fraudulent medical products to the fda through our website, by phone, or mail.",0,0
68,am i at risk for serious complications from covid-19 if i smoke cigarettes,smoking cigarettes can leave you more vulnerable to respiratory illnesses such as covid-19. smoking cigarettes is known to cause heart and lung disease and people with underlying heart and lung problems may have increased risk for serious complications from covid-19.,4,0
69,if i vape tobacco or nicotine am i at risk for complications from covid-19,"e-cigarette use can expose the lungs toxic chemicals, but whether those exposures increase the risk of covid-19 or the severity of covid-19 outcomes is not known.",4,0
70,what is a biological medical product or a biologic,"biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living enties such as cells and tissues.",0,1
71,does covid-19 present a risk to the safety of the nation’s blood supply,"in general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus.",0,0
72,"what steps are being taken to protect the u. s. blood supply from sars-co. v-2, the virus that causes covid-19",blood donors must be healthy and feel well on the day of donation. routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood.,2,2
73,why aren’t blood centers testing donors for sars-co. v-2,"someone who has symptoms of covid-19, including fever, cough, and shortness of breath, is not healthy enough to donate blood. standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate.",0,0
74,is it safe for me to donate blood during the coronavirus pandemic,"if you are healthy and interested in donating blood, the fda encourages you to contact a local donation center to make an appointment.",3,2
75,what is convalescent plasma,"convalescent plasma is the liquid part of blood that is collected from patients who have recovered from the novel coronavirus disease, covid-19, caused by the virus sars-co. v-2.",4,2
76,why is convalescent plasma being investigated to treat covid-19,convalescent plasma is being investigated for the treatment of covid-19 because there is no approved treatment for this disease and there is some information that suggests it might help some patients recover from covid-19.,4,2
77,"i recently recovered from covid-19, can i donate convalescent plasma",covid-19 convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. individuals must have had a prior diagnosis of covid- 19 documented by a laboratory test and meet other laboratory criteria.,0,1
78,are there any fda-approved drug products or medicines to treat covid-19,"at this time, there are no fda-approved drug products to treat covid-19.",3,2
79,are antibiotics effective in preventing or treating covid-19,"no. antibiotics do not work against viruses; they only work on bacterial infections. antibiotics do not prevent or treat coronavirus disease. , because covid-19 is caused by a virus, not bacteria.",6,0
80,will miracle mineral solution.  cure covid-19,no. miracle mineral solution does not cure covid-19 and has not been approved by the fda for any use.,0,2
81,are chloroquine phosphate or hydroxychloroquine sulfate approved by the fda to treat covid-19,no. hydroxychloroquine sulfate and some versions of chloroquine phosphate are fda-approved to treat malaria.,0,2
82,may health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off-label to treat patients with covid-19,"chloroquine phosphate is only approved for the treatment of malaria, and hydroxychloroquine sulfate is only approved for the treatment of malaria, lupus, and rheumatoid arthritis.",3,2
83,are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid-19,"in the lab, these drugs have been shown to prevent the growth of the virus that causes covid-19. there a few reports of patients with covid-19 who received these drugs and improved. some are reports of groups of patients, all of whom received the drug. it is not known whether it was the drug that led to the improvement or whether there were other factors involved.",0,2
84,what is the fda doing to protect people from fraudulent covid-19 products,we have established a cross-agency task force dedicated to closely monitoring for fraudulent covid-19 products.,2,0
85,are there going to be drug shortages due to drug manufacturer facility closures in china,"the fda has been closely monitoring the supply chain with the expectation that the covid-19 outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the u. s.",3,0
86,am i at risk for covid-19 from taking fda-approved drugs made in china,"currently, there is no evidence to support transmission of covid-19 associated with imported goods, including food and drugs for humans and pets.",4,0
87,who should i contact with drug-related questions,"if you have additional questions, call fda’s division of drug information at.  543-3784 or email us at druginfo@fda. hhs. gov..",3,1
88,is there a test for covid-19,"yes, there are tests for covid-19.",1,2
89,how are people tested for covid-19,"to be tested for covid-19, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals.",0,2
90,are there any tests that i can purchase to test myself at home for covid-19,"at this time, the fda has not authorized any covid-19 test to be completely used and processed at home.",0,1
91,"if antibody tests are not used for diagnosis or exclusion of sars-co. v-2 infection, what is their purpose","antibody tests cannot be used alone to rule out covid-19. however, they can serve an important role. using antibody tests on many patients may help the medical community better understand the immune response in patients over time and how many people may have been infected.",0,2
92,should i purchase personal protective equipment such as facemasks or n95 respirators for me and my family,"no. surgical masks and n95s need to be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring covid-19.",3,2
93,"is there a shortage of personal protective equipment.  such as gloves, masks, and n95 respirators or of ventilators",the agency is also aware of challenges throughout the supply chain that are presently impacting the availability of ppe products and is taking steps to mitigate shortages that health care facilities are already experiencing.,3,2
94,who should i contact if i have questions about medical devices or need more information,please contact the fda’s center for devices and radiological health. ’s division of industry and consumer education.  for general questions and information.,0,2
95,will there be food shortages,"there are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock.",0,0
96,will there be animal food shortages,"there are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock.",0,0
97,what are the most important things i need to know to keep myself and others safe when i go the grocery store during the pandemic,"there are steps you can take to help protect yourself, grocery store workers and other shoppers, such as wearing a face covering, practicing social distancing, and using wipes on the handles of the shopping cart or basket.",1,2
98,are food products produced in the united states or other countries affected by covid- 19 a risk for the spread of covid-19,there is no evidence to suggest that food produced in the united states or imported from countries affected by covid-19 can transmit covid-19.,3,2
99,"can i get the coronavirus from food, food packaging, or food containers and preparation area","currently there is no evidence of food, food containers, or food packaging being associated with transmission of covid-19. like other viruses, it is possible that the virus that causes covid-19 can survive on surfaces or objects.",6,2
100,is the u. s. food supply safe,currently there is no evidence of food or food packaging being associated with transmission of covid-19.,4,2
101,is the u. s. animal food supply safe,currently there is no evidence of animal food or food packaging being associated with transmission of covid-19.,4,2
102,can i get covid-19 from a food worker handling my food,"currently, there is no evidence of food or food packaging being associated with transmission of covid-19.",4,0
103,should food workers who are ill stay home,"cdc recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever. , signs of a fever, and any other symptoms for at least 24 hours, without the use of fever-reducing or other symptom-altering medicines..",1,2
104,should food facilities.  perform any special cleaning or sanitation procedures for covid-19,"cdc recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs.",1,2
105,can i get covid-19 from my pet or other animals,there is currently no evidence that animals are a source of covid-19 infection in the united states.,3,2
106,is there a test for covid-19 in pets,"certain veterinary diagnostic laboratories have developed diagnostic tests for sars- co. v-2, the virus that causes covid-19, for use in pets if need.",0,2
107,should i get my pet tested for covid-19,routine testing of pets for covid-19 is not recommended at this time.,2,0
108,what animal species can get covid-19,"we currently don’t fully understand how covid-19 affects different animal species. we are aware of a very small number of pets, including dogs and cats, reported to be infected with the virus that causes covid-19 after close contact with people with covid-19.",5,0
109,"is it true that animals, like dogs, cats, and cattle, get their own different types of coronavirus","yes. coronaviruses are a large family of viruses. some coronaviruses like covid-19 cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. some coronaviruses, such as canine and feline coronaviruses, only infect animals and do not infect humans.",0,2
110,"if my pet previously had a species-specific coronavirus, does that make them more or less likely to get covid-19",there are no data to suggest that current or previous infection with another strain of coronavirus would make your pet more or less likely to get covid-19.,2,0
111,"if my pet has been vaccinated for species-specific coronavirus, does that make them more or less likely to get covid-19",species-specific coronavirus vaccines are unlikely to work against this type of coronavirus because it is a new virus that is different from the species-specific strains of coronavirus targeted by the vaccine.,0,0
112,is it safe to adopt pets from a shelter or rescue,"there is no reason to think that any animals, including shelter or rescue pets, in the united states, might be a source of covid-19.",6,2
113,are there going to be any animal drug shortages due to the covid-19 outbreak,the fda has been and is continuing to closely monitor how the covid-19 outbreak may impact the animal medical product supply chain.,0,0
114,when was the middle east respiratory syndrome coronavirus isolated first,".  was first isolated in 2012, in a 60-year-old man who died in jeddah, ksa due to severe acute pneumonia and multiple organ failure",6,0
115,which medical comorbidities most profoundly influenced mers-co. v outcomes,"if they were obese, immunocompromised, diabetic or had cardiac disease",4,1
116,what is the relationship between sars-co. v and acute lung injury.,many infected patients have acute lung injury.,1,0
117,what is the relationship between the presence of virus in anal swabs and disease severity in 2019-n. cov,"in the anal swab cohort. , 11 of 28 cases were detected to be anal swab positive, 8 of them.  were with severe symptoms, which was significantly higher than that 4.  of the rest 17 cases without detectable virus in anal were severe cases",6,0
118,what is a key assumption of a semi-mechanistic bayesian hierarchical model used for coronavirus,each intervention has the same effect on the reproduction number across countries and over time,0,2
119,what will be the drug of choice for treating covid-19 between chloroquine and remdesivir,"two potential drugs, cq appears to be the drug of choice for large-scale use due to its availability, proven safety record, and a relatively low cost.",3,2
120,what is important for understanding the origin and evolution of this novel lineage betacoronavirus,"learning from the roles of civet in sars and camel in mers, hunting for the animal source of 2019-n. co. v and its more ancestral virus",2,2
121,why might we underestimate the spread of covid19,"limited information available regarding incubation time, transmissibility, and virus origin",1,0
122,what could be the implication of 2019-n. cov virus in anal swabs,digestive tract might be one extrapulmonary site for virus replication,0,1
123,what is the relation between the new2019-n. cov and the conserved orf8,the new 2019-n. co. v orf8 is distant from the conserved orf8,1,1
124,how many nucleotides does bovine coronavirus contain,"30,847 nucleotides",3,1
125,in vitro comparison of antiviral activity of chloroquine.  and hydroxychloroquine.  against covid-19,"compare the antiviral activity of cq versus hcq, the dose-response curves",4,1
126,what was a characteristic of sars-co. v and mers-co. v specimens collected from the lower respiratory tract such as sputum and tracheal aspirates,have higher and more prolonged levels of viral rna because of the tropism of the virus.,2,0
127,why is there no credible evidence to support the claim that the sars-co. v-2 is derived from the chimeric sl-shc014-ma15 virus,"upon careful phylogenetic analyses by multiple international groups [5, 14] , the sars-co. v-2 is undoubtedly distinct from sl-shc014-ma15, with >6,000 nucleotide differences across the whole genome.",4,2
128,what animals can carry coronavirus,"uding birds, farm animals, pets, camels, an",5,1
129,what's the recommended method to disinfect floors for covid-19,"the ground is wiped with 1000mg/l chlorine-containg disinfectant, once /4 hours.",6,2
130,how long is the incubation time for covid19,between 2 and 14 days,1,1
131,what illness is caused by the 2019-n. cov coronavirus,the novel coronavirus.  infection caused pneumonia.,6,0
132,what does the orf8 derived from 2019-n. cov belong to,the group that includes the closest genome sequences of bat sars-related-co. v zxc21 and zc45.,4,1
133,what is the conclusion of the coronavirus long-term surveillance studies,rhinolophus bats seem to harbor a wide diversity of co. vs,1,1
134,what other tests should be considered for 2019-n. cov epidemiology,serology should be considered for 2019-n. co. v epidemiology.,6,1
135,what tests should be done before a 2019-n. cov infected patient is discharged,"we cannot discharge a patient purely based on oral swabs negative, who may still shed the virus by oral-fecal route. above all, we strongly suggest using viral ig. m and ig. g serological test to confirm an infection, considering the unreliable results from oral swabs detection",0,0
136,why early identification of covid-19 patients can be difficult,early identification of 2019-n. co. v infection presents a major challenge,4,0
137,what is the incubation period for mers-cov,incubation period of 16 days with a mean of 5-6 days [,1,1
138,how does gender influence mers-cov infection,mers-co. v infects males more than females,1,1
139,what test could give an indication for special care for 2019-n. cov patients,presence of viral rna outside of the respiratory tract might herald the severity of the disease and alarm the requirement of special care,6,2
140,what are the descriptive statistics for the onset-to-death for coronavirus,gamma distributed with a mean of 18. 8 days and a coefficient of va riation 0. 45,1,1
141,what is the molecular structure of bovine coronavirus,"single-stranded, linear, and nonsegmented rna",2,1
142,what is the effect of chloroquine.  and hydroxychloroquine.  on endosomal maturation and endocytosis in covid-19 treatment,"since acidification is crucial for endosome maturation and function, we surmise that endosome maturation might be blocked at intermediate stages of endocytosis,",3,0
143,what could account for the high transmission rate of the 2019-n. cov virus,"intensive structural analysis of the s protein of 2019-n. co. v with the sars-coronavirus suggested that several critical residues in the viral spike protein might confer favourable interaction with human ace2 [7. of note, ace2 is also abundantly present in humans in the epithelia of the small intestine besides the respiratory tract and is ubiquitously present in endothelial cells [8] , which might provide possible routes of transmission, and might account for the high transmission capacity of the new virus.",0,0
144,how do sars-co. viral proteins interact with the immune response,"several viral proteins suppress the type ifn response, and other aspects of innate antiviral immunity",0,2
145,what is the contrast with sars-cov and mers=cov,"sars-co. v.  and mers-co. v.  may cause severe lower respiratory tract infection with acute respiratory distress syndrome and extrapulmonary manifestations, such as diarrhea, lymphopenia, deranged liver and renal function tests, and multiorgan dysfunction syndrome, among both immunocompetent and immunocompromised hosts with mortality rates of ∼10% and ∼35%, respectively",6,0
146,how many covid-19 cases were confirmed on the diamond princess cruise ship,"out of a total of 3711 persons. , 199 symptomatic cases have been diagnosed on board as of 24 february, and additional asymptomatic infections and symptomatic cases after disembarkation have also been reported",4,2
147,what is the relationship between sars-co. v and acute respiratory distress syndrome.,"in some patients there is a progression to the more severe form of ali, acute respiratory distress syndrome.",5,0
148,why is it proposed that some bat sl-co. vs may be able to directly infect human hosts,combined with evolutionary evidence that the bat ace2 gene has been positively selected at the same contact sites as the human ace2 gene for interacting with sars co. v [,5,2
149,what was the role of corticosteroid use in hospitalized patients with sars-co. v,"retrospective analysis revealed that, when given at the correct time and to the appropriate patients, corticosteroid use could decrease mortality and also length of hospital stays",0,1
150,what does the sars-co. v protein activate,nlrp3 inflammasome,0,1
151,what platform was instrumental in rapid sharing of covid-19 information,global initiative on sharing all influenza data.,0,2
152,evidence of hydroxychloroquine.  being anti inflammatory in sars-co. v-2 critically ill patients with elevated plasma cytokines,hcq is a safe and successful anti-inflammatory agent,4,2
153,where can published genomic sequences be found for the 2019-n. co. virus,global initiative on sharing all influenza data..,0,2
154,how do most bat sarsr-cov differ from 2019-n. cov and human sars-cov,bat sarsr-co. vs have two stretches of deletions in the spike receptor binding domain.  when compared with that of human sars-co. v,4,1
155,when does the infectivity of sars-cov peak,"10 days after illness onset [7] , consistent with the peak in viral load at around that time",2,0
156,what is a recent discovery,bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host,5,1
157,which immune factors were associated with increased sars-co. v morbidity and mortality,a higher neutrophil count and low t-cell counts,2,2
158,what is the rna of the 2019-n. cov,"29891 nucleotides in size, encoding 9860 amino acids",2,1
159,why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the coronavirus reproduction number,close spacing of interventions in time,0,2
160,why is it highly unlikely that ra. tg13 co. v is the immediate source of sars-co. v-2.,are distributed throughout the genome in a naturally occurring pattern following the evolutionary characteristics typical of co. vs,5,1
161,what's the recommended procedure to disinfect at ct scanner after a covid-19 exposure,the equipment in the contaminated area are wiped with 2000mg/l chlorine-containg disinfectant. the dr and ct gantry in the contaminated area are wiped with 75% ethanol. the equipment in the buffer area is wiped with 500-1000mg/l chlorine-containg disinfectant or alcohol-containg disposable disinfectant wipes twice a day.,0,2
162,what is required for a person to survive a serious sars-co. v infection,"a successful host must not only be able to clear the pathogen, but tolerate damage caused by the pathogen itself and also by the host's immune response",6,2
163,what factor positively correlates with imported-and-reported cases counts of sars-co. v-2 infection,daily air travel volume,2,2
164,what are main steps for mitigating the covid -19 transmission during transport of suspected and confirmed patients,"firstly, early recognition of the deteriorating patient; secondly, hcw safety; thirdly, bystander safety; fourthly, contingency plans for medical emergencies during transport; fifthly, post-transport decontamination",4,2
165,what is the recovery benefit of carageenan in patients with any respiratory virus,1. 9 day faster recovery from common cold symptoms than placebo treated patients in the intention-to-treat population,2,2
166,for whom does the sars-cov-2 pose a great threat,"those in complex humanitarian crises, which lack the infrastructure, support, and health systems to mount a comprehensive response.",6,2
167,"with the intervention of movement restrictions starting on 5th february 20 what were the confirmed cases for covid-19, were limited to","102 and 47 cases, respectively.",4,2
168,what age group had the most mers-cov infections,majority of confirmed cases of mers-co. v were reported among people aged 40 and above,4,1
169,what do hco. v-oc43 and hco. v-hku1 cause,self-limiting upper respiratory infections in immunocompetent hosts and occasionally lower respiratory tract infections in immunocompromised hosts and elderly,6,0
170,what thickness of layers is recommended for ct image reconstruction in covid-19 assessment,1 mm-thick layers,6,2
171,what is the role of computed tomography.  in covid-19,diagnosing and categorizing covid-19 on the basis of case definitions issued by the who,1,1
172,what kind of test can diagnose covid-19,r. rt-pcr test,0,1
173,what are ways in which 2019-n. cov is transmitted,"we found the presence of 2019-n. co. v in anal swabs and blood as well, and more anal swab positives than oral swab positives in a later stage of infection, suggesting shedding and thereby transmitted through oral? fecal route.",0,2
174,how does transmission differ between sars-co. v and mers-co. v,"sars-co. v also spreads more rapidly between hosts, while mers-co. v has been more easily contained, but is unclear if this due to the affected patient populations and regions",1,0
175,how long did it take to identify the cause of covid-19,4 weeks,1,1
176,what is the role of interferon's.  in the treatment of sars-co. v,there is some evidence that simultaneous treatment with ifns could increase the potential benefits,4,2
177,why exposure risk of covid-19 is very high for icu staff and what precautions should be taken,substantial exposure risk for icu staff because of the following reasons,3,0
178,what similarity human sars-cov and palm civet sarslike cov share,"99. 8% homology, with a total of 202 single-nucleotide.  variations.  identified across the genome",1,2
179,where was the second reported case of covid in the united states,chicago,1,2
180,how many amino acids are in the sars-co. v e protein,76 amino acids,2,1
