Question,Answer,Source,,,,,,,,
Is there a connection between COVID -19 and environment temperature ,"It is not known yet if weather and temperature changes impact or has any connection with COVID-19. At this time, it is not clear or known if the spread of COVID-19 will decrease when the weather becomes warmer. ",United Nations,,,,,,,,
"Can I catch the virus from being in an enclosed space (i.e. bus, subway) in close proximity to someone who doesn°Øt have respiratory symptoms","Since the virus is transmitted through respiratory droplets, the risk of catching it from somebody who is asymptomatic, even a contact of a confirmed COVID-19 case, is low.",United Nations,,,,,,,,
Should I start avoiding people of Asian descent and their businesses ,"The virus can affect anyone regardless of nationality, race and color. The Organization will not tolerate discrimination and encourages everyone to promote culturally appropriate and empathetic community engagement and to detect and rapidly respond to negative public perceptions and counter misinformation. ",United Nations,,,,,,,,
"When should we identify ourselves as ""being sick"" and stay at home ","Although a fever is a sure sign that you are sick enough not to come to work, anyone experiencing respiratory symptoms like coughing and sneezing should stay at home. ",United Nations,,,,,,,,
Should I get a face mask,"CDC recommends wearing cloth face coverings?in public settings where other social distancing measures are difficult to maintain (for example, grocery stores and pharmacies) especially in areas of significant community-based transmission.",John Hopkins Medicine,,,,,,,,
Can I make my own hand sanitizer,There are no studies supporting the effectiveness of homemade hand sanitizer blend in killing the new coronavirus on people°Øs hands.,John Hopkins Medicine,,,,,,,,
Can coronavirus live on objects,"Although the new coronavirus weakens and dies over time outside of the human body, studies suggest that it can live on surfaces for a few hours or up to several days, depending on surface, temperature and other environmental factors.",John Hopkins Medicine,,,,,,,,
Is it safe to order take-out,"According to the?Food and Drug Administration (FDA),?there have not been any cases of COVID-19 known to be caused from eating food or handling food packaging.",John Hopkins Medicine,,,,,,,,
Is grocery shopping safe during the coronavirus pandemic,"It°Øs best not to make unnecessary trips, but if you need to go to a grocery store, it°Øs important to maintain social and physical distancing as you shop, and to clean your hands often while shopping and as soon as you get home.",John Hopkins Medicine,,,,,,,,
Should I stop going to the gym,"As the new coronavirus is spreading, be cautious about all possible exposures, including at the gym or fitness center. The virus isn°Øt spread through perspiration (sweat), but items touched by many people (barbells, etc.) could pose a risk.",John Hopkins Medicine,,,,,,,,
Should I cancel my trip,"At this time,?social and physical distancing?are important to follow, so overall, travel is discouraged.",John Hopkins Medicine,,,,,,,,
Can humans get coronavirus from dogs or cats,"Despite the very few reports worldwide, including here in the United States, of sick and healthy domestic animals, including pets, testing positive for SARS-CoV-2, the official name for the virus that causes COVID-19, there is little evidence at this time that such animals are easily infected with the virus under normal conditions, or could transmit it.",John Hopkins Medicine,,,,,,,,
What is coronavirus fatality rate,"Right now, it appears that COVID-19, the disease caused by the new coronavirus, causes more cases of severe disease and more deaths than the seasonal flu. People over age 85 have the highest risk of fatality and children under 19, the lowest, but this could change as more people are tested and trends become clearer.?",John Hopkins Medicine,,,,,,,,
Can coronavirus live in heat,Several countries currently affected by the new coronavirus outbreak are experiencing summer weather.,John Hopkins Medicine,,,,,,,,
Why is it called a °∞coronavirus°±,"Corona means °∞crown,°± and coronaviruses have a °∞crown°± of protruding points on their surface that give them a characteristic appearance when seen under a microscope. Coronaviruses are a whole family of viruses; there are many.",John Hopkins Medicine,,,,,,,,
What°Øs the difference between the new coronavirus and other coronaviruses,"The new coronavirus is different from these, and was only identified in December 2019.",John Hopkins Medicine,,,,,,,,
What is 2019 Novel Coronavirus (COVID-19),"COVID-19 is a new disease, caused by a novel (or new) coronavirus not previously seen in humans.",Illinois Department of Public Health,,,,,,,,
What is the source of the virus,"Early on, many of the patients at the epicenter of the COVID-19 outbreak in China had some link to a large seafood and live animal market, suggesting animal-to-person spread.",Illinois Department of Public Health,,,,,,,,
What does it mean that COVID-19 is a Global Pandemic,A pandemic is a global outbreak of disease. Pandemics happen when a new virus emerges to infect people and can spread between people. ,Illinois Department of Public Health,,,,,,,,
What are the symptoms of COVID-2019,"People who are infected with COVID-19 have developed mild to severe respiratory illness with symptoms including fever, cough, shortness of breath, and potentially respiratory distress 2-14 days after exposure.",Illinois Department of Public Health,,,,,,,,
How does COVID-19 spread,Human coronaviruses typically spread through the air by coughing and sneezing.,Illinois Department of Public Health,,,,,,,,
How is COVID-19 diagnosed,"There are many tests being used to diagnose COVID-19 that the U.S. Food & Drug Administration (FDA) has authorized for use during the current emergency. All of these diagnostic tests identify the virus in samples from the respiratory system, such as from nasal or nasopharyngeal swabs",Illinois Department of Public Health,,,,,,,,
Can someone spread the virus without being sick,Some spread might be possible before people show symptoms.?,Illinois Department of Public Health,,,,,,,,
What does the Governor°Øs stay at home order mean,"A stay at home order directs Illinoisans to stop movements outside of their homes beyond essential needs. By limiting social interactions, the chance of spreading COVID-19 is greatly reduced.",Illinois Department of Public Health,,,,,,,,
What is social distancing,Social distancing is deliberately increasing the physical space between people to avoid spreading illness.,Illinois Department of Public Health,,,,,,,,
Can I go outdoors,"Yes, go outdoors for fresh air and exercise. Ride a bike, walk the dog, go for a hike, jog. Social distancing does not mean staying indoors, it means avoiding close contact with people.",Illinois Department of Public Health,,,,,,,,
Can I go to the supermarket,Yes. Buy as much as you need to lessen the number of trips and try and shop when the store is least likely to be crowded.,Illinois Department of Public Health,,,,,,,,
Should I wear a facemask,Cover your mouth and nose with a cloth face cover when around others.,Illinois Department of Public Health,,,,,,,,
What steps should parents take to protect children,Discourage children and teens from gathering in other public places while school is dismissed to help slow the spread of COVID-19 in the community. Encourage frequent handwashing and follow other prevention tips.,Illinois Department of Public Health,,,,,,,,
Who is at higher risk,Older adults and people of any age who have serious underlying medical conditions may be at higher risk for more serious complications from COVID-19.,Illinois Department of Public Health,,,,,,,,
Should I clean °∞high touch°± surfaces,"Clean and disinfect frequently touched surfaces, such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets and sinks.?",Illinois Department of Public Health,,,,,,,,
Is there a vaccine,"No. Currently, there is not a vaccine for COVID-19.",Illinois Department of Public Health,,,,,,,,
What are the treatments for COVID-19,"Currently, there are no specific treatments recommended for illnesses caused by COVID-19. Medical care is supportive to help relieve symptoms.",Illinois Department of Public Health,,,,,,,,
Can I get COVID-19 from my pet,"Currently, there is no evidence that animals play a significant role in spreading the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading COVID-19 to people is considered to be low.?",Illinois Department of Public Health,,,,,,,,
Can animals carry the virus that causes COVID-19 on their skin or fur,"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets.",Illinois Department of Public Health,,,,,,,,
"What should health care providers, laboratories and health departments do",Health care providers and laboratories should report suspect COVID-19 cases immediately (within 3 hours) to their local health department.,Illinois Department of Public Health,,,,,,,,
What is coronavirus disease 2019 (COVID-19),Coronavirus disease 2019 (COVID-19) is a respiratory illness that can spread from person to person. ,Food and Drug Administration,,,,,,,,
How can I prevent COVID-19 ,The best way to prevent illness is to avoid being exposed to the virus. ,Food and Drug Administration,,,,,,,,
Should I wear a face covering or face mask when I go out in public ,"CDC recommends wearing cloth face coverings in public when other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in areas of significant community-based transmission of the coronavirus. ",Food and Drug Administration,,,,,,,,
What treatments are available for COVID-19 ,People with COVID-19 should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. ,Food and Drug Administration,,,,,,,,
"Can disinfectant sprays or wipes be used on my skin, injected, inhaled, or ingested to prevent or treat COVID-19","No. Always follow the instructions on household cleaners. Disinfectant sprays or wipes are intended for use on hard, non-porous surfaces. Disinfectant sprays or wipes are not intended for use on humans or animals. Do not use disinfectant sprays or wipes on your skin because they may cause skin and eye irritation. Do not inject, inhale, or ingest disinfectant sprays or household cleaners; doing so is dangerous and may cause serious harm or death. If ingested, call poison control or a medical professional immediately.",Food and Drug Administration,,,,,,,,
Where can I buy hand sanitizer,Many retail stores and pharmacies sell hand sanitizers. ,Food and Drug Administration,,,,,,,,
"If I can't find it in the store, can I make my own",The FDA does not recommend that consumers make their own hand sanitizer.,Food and Drug Administration,,,,,,,,
What do I do if I get a rash or other reaction to hand sanitizer ,Call your doctor if you experience a serious reaction to hand sanitizer. FDA encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the FDA°Øs MedWatch Adverse Event Reporting program.,Food and Drug Administration,,,,,,,,
Where can I report websites selling fraudulent medical products ,"You can report websites selling fraudulent medical products to the FDA through our website, by phone, or mail.",Food and Drug Administration,,,,,,,,
Am I at risk for serious complications from COVID-19 if I smoke cigarettes ,Smoking cigarettes can leave you more vulnerable to respiratory illnesses such as COVID-19. Smoking cigarettes is known to cause heart and lung disease and people with underlying heart and lung problems may have increased risk for serious complications from COVID-19.,Food and Drug Administration,,,,,,,,
If I vape tobacco or nicotine am I at risk for complications from COVID-19 ,"E-cigarette use can expose the lungs to toxic chemicals, but whether those exposures increase the risk of COVID-19 or the severity of COVID-19 outcomes is not known.",Food and Drug Administration,,,,,,,,
What is a biological medical product or a biologic ,"Biological products include a wide range of products such as vaccines, blood and blood components, allergenics, somatic cells, gene therapy, tissues, and recombinant therapeutic proteins. Biologics can be composed of sugars, proteins, or nucleic acids or complex combinations of these substances, or may be living entities such as cells and tissues. ",Food and Drug Administration,,,,,,,,
Are there any vaccines or other medical products to prevent COVID-19 ,At this time there is no vaccine to prevent coronavirus disease 2019 (COVID-19).,Food and Drug Administration,,,,,,,,
Does COVID-19 present a risk to the safety of the nation°Øs blood supply ,"In general, respiratory viruses are not known to be transmitted by blood transfusion, and there have been no reported cases of transfusion-transmitted coronavirus. ",Food and Drug Administration,,,,,,,,
"What steps are being taken to protect the U.S. blood supply from SARS-CoV-2, the virus that causes COVID-19",Blood donors must be healthy and feel well on the day of donation. Routine blood donor screening measures that are already in place should prevent individuals with respiratory infections from donating blood.,Food and Drug Administration,,,,,,,,
Why aren°Øt blood centers testing donors for SARS-CoV-2 ,"Someone who has symptoms of COVID-19, including fever, cough, and shortness of breath, is not healthy enough to donate blood. Standard screening processes already in place will mean that someone with these symptoms will not be allowed to donate. ",Food and Drug Administration,,,,,,,,
Is it safe for me to donate blood during the coronavirus pandemic ,"If you are healthy and interested in donating blood, the FDA encourages you to contact a local donation center to make an appointment.",Food and Drug Administration,,,,,,,,
"Can COVID-19 be transmitted through human cells, tissues, or cellular and tissue- based products (HCT/Ps)","Respiratory viruses, in general, are not known to be transmitted by implantation, transplantation, infusion, or transfer of human cells, tissues, or cellular or tissue-based products (HCT/Ps).",Food and Drug Administration,,,,,,,,
What is convalescent plasma ,"Convalescent plasma is the liquid part of blood that is collected from patients who have recovered from the novel coronavirus disease, COVID-19, caused by the virus SARS-CoV-2. ",Food and Drug Administration,,,,,,,,
Why is convalescent plasma being investigated to treat COVID-19,Convalescent plasma is being investigated for the treatment of COVID-19 because there is no approved treatment for this disease and there is some information that suggests it might help some patients recover from COVID-19. ,Food and Drug Administration,,,,,,,,
"I recently recovered from COVID-19, can I donate convalescent plasma",COVID-19 convalescent plasma must only be collected from recovered individuals if they are eligible to donate blood. Individuals must have had a prior diagnosis of COVID- 19 documented by a laboratory test and meet other laboratory criteria.,Food and Drug Administration,,,,,,,,
Are there any FDA-approved drug products or medicines to treat COVID-19 ,"At this time, there are no FDA-approved drug products to treat COVID-19. ",Food and Drug Administration,,,,,,,,
Are antibiotics effective in preventing or treating COVID-19 ,"No. Antibiotics do not work against viruses; they only work on bacterial infections. Antibiotics do not prevent or treat coronavirus disease (COVID-19), because COVID-19 is caused by a virus, not bacteria.",Food and Drug Administration,,,,,,,,
Will Miracle Mineral Solution (MMS) cure COVID-19 ,No. Miracle Mineral Solution does not cure COVID-19 and has not been approved by the FDA for any use. ,Food and Drug Administration,,,,,,,,
Are chloroquine phosphate or hydroxychloroquine sulfate approved by the FDA to treat COVID-19 ,No. Hydroxychloroquine sulfate and some versions of chloroquine phosphate are FDA-approved to treat malaria. ,Food and Drug Administration,,,,,,,,
May health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off-label to treat patients with COVID-19 ,"Chloroquine phosphate is only approved for the treatment of malaria, and hydroxychloroquine sulfate is only approved for the treatment of malaria, lupus, and rheumatoid arthritis. ",Food and Drug Administration,,,,,,,,
Are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with COVID-19 ,"In the lab, these drugs have been shown to prevent the growth of the virus that causes COVID-19. There are a few reports of patients with COVID-19 who received these drugs and improved. Some are reports of groups of patients, all of whom received the drug. It is not known whether it was the drug that led to the improvement or whether there were other factors involved. ",Food and Drug Administration,,,,,,,,
Should I take ivermectin to prevent or treat COVID-19 ,"No. While there are approved uses for ivermectin in people and animals, it is not approved for the prevention or treatment of COVID-19. ",Food and Drug Administration,,,,,,,,
What is the FDA doing to protect people from fraudulent COVID-19 products ,We have established a cross-agency task force dedicated to closely monitoring for fraudulent COVID-19 products. ,Food and Drug Administration,,,,,,,,
Are there going to be drug shortages due to drug manufacturer facility closures in China ,"The FDA has been closely monitoring the supply chain with the expectation that the COVID-19 outbreak would likely impact the medical product supply chain, including potential disruptions to supply or shortages of critical medical products in the U.S. ",Food and Drug Administration,,,,,,,,
Am I at risk for COVID-19 from taking FDA-approved drugs made in China ,"Currently, there is no evidence to support transmission of COVID-19 associated with imported goods, including food and drugs for humans and pets. ",Food and Drug Administration,,,,,,,,
Who should I contact with drug-related questions ,"If you have additional questions, call FDA°Øs Division of Drug Information at (855) 543-3784 or email us at druginfo@fda.hhs.gov (mailto:druginfo@fda.hhs.gov). ",Food and Drug Administration,,,,,,,,
Is there a test for COVID-19 ,"Yes, there are tests for COVID-19. ",Food and Drug Administration,,,,,,,,
How are people tested for COVID-19 ,"To be tested for COVID-19, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals.",Food and Drug Administration,,,,,,,,
Are there any tests that I can purchase to test myself at home for COVID-19 ,"At this time, the FDA has not authorized any COVID-19 test to be completely used and processed at home. ",Food and Drug Administration,,,,,,,,
"If antibody tests are not used for diagnosis or exclusion of SARS-CoV-2 infection, what is their purpose","Antibody tests cannot be used alone to rule out COVID-19. However, they can serve an important role. Using antibody tests on many patients may help the medical community better understand the immune response in patients over time and how many people may have been infected.",Food and Drug Administration,,,,,,,,
Should I purchase personal protective equipment such as facemasks or N95 respirators for me and my family ,"No. Surgical masks and N95s need to be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring COVID-19. ",Food and Drug Administration,,,,,,,,
"Is there a shortage of personal protective equipment (PPE) such as gloves, masks, and N95 respirators or of ventilators",The agency is also aware of challenges throughout the supply chain that are presently impacting the availability of PPE products and is taking steps to mitigate shortages that health care facilities are already experiencing.,Food and Drug Administration,,,,,,,,
Can 3D printing be used to make PPE ,"While it is possible to use 3D printing to make certain PPE, there are technical challenges. 3D-printed PPE may provide a physical barrier, but 3D-printed PPE are unlikely to provide the same fluid barrier and air filtration protection as FDA-cleared surgical masks and N95 respirators",Food and Drug Administration,,,,,,,,
Who should I contact if I have questions about medical devices or need more information ,Please contact the FDA°Øs Center for Devices and Radiological Health (CDRH)°Øs Division of Industry and Consumer Education (DICE) for general questions and information.,Food and Drug Administration,,,,,,,,
Will there be food shortages ,"There are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. ",Food and Drug Administration,,,,,,,,
Will there be animal food shortages ,"There are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock.",Food and Drug Administration,,,,,,,,
What are the most important things I need to know to keep myself and others safe when I go to the grocery store during the pandemic ,"There are steps you can take to help protect yourself, grocery store workers and other shoppers, such as wearing a face covering, practicing social distancing, and using wipes on the handles of the shopping cart or basket. ",Food and Drug Administration,,,,,,,,
Are food products produced in the United States or other countries affected by COVID- 19 a risk for the spread of COVID-19 ,There is no evidence to suggest that food produced in the United States or imported from countries affected by COVID-19 can transmit COVID-19. ,Food and Drug Administration,,,,,,,,
"Can I get the coronavirus from food, food packaging, or food containers and preparation area","Currently there is no evidence of food, food containers, or food packaging being associated with transmission of COVID-19. Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects.",Food and Drug Administration,,,,,,,,
Is the U.S. food supply safe ,Currently there is no evidence of food or food packaging being associated with transmission of COVID-19. ,Food and Drug Administration,,,,,,,,
Is the U.S. animal food supply safe ,Currently there is no evidence of animal food or food packaging being associated with transmission of COVID-19. ,Food and Drug Administration,,,,,,,,
Can I get COVID-19 from a food worker handling my food ,"Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. ",Food and Drug Administration,,,,,,,,
Should food workers who are ill stay home ,"CDC recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever (100.4°∆ F [37.8°∆ C] or greater using an oral thermometer), signs of a fever, and any other symptoms for at least 24 hours, without the use of fever-reducing or other symptom-altering medicines (e.g. cough suppressants). ",Food and Drug Administration,,,,,,,,
"Should food facilities (grocery stores, manufacturing facilities, restaurants, etc.) perform any special cleaning or sanitation procedures for COVID-19","CDC recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs.",Food and Drug Administration,,,,,,,,
Can I get COVID-19 from my pet or other animals ,There is currently no evidence that animals are a source of COVID-19 infection in the United States. ,Food and Drug Administration,,,,,,,,
Is there a test for COVID-19 in pets ,"Certain veterinary diagnostic laboratories have developed diagnostic tests for SARS- CoV-2, the virus that causes COVID-19, for use in pets if needed. ",Food and Drug Administration,,,,,,,,
Should I get my pet tested for COVID-19 ,Routine testing of pets for COVID-19 is not recommended at this time.,Food and Drug Administration,,,,,,,,
What animal species can get COVID-19 ,"We currently don°Øt fully understand how COVID-19 affects different animal species. We are aware of a very small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19 after close contact with people with COVID-19. ",Food and Drug Administration,,,,,,,,
Are there any approved products that can prevent or treat COVID-19 in animals ,"No. Under the Federal Food, Drug, and Cosmetic (FD&C) Act, °∞articles intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease in man or other animals°± are drugs. The FDA has not approved any drugs for the diagnosis, cure, mitigation, treatment, or prevention of COVID-19 in animals. ",Food and Drug Administration,,,,,,,,
"Is it true that animals, like dogs, cats, and cattle, get their own different types of coronavirus","Yes. Coronaviruses are a large family of viruses. Some coronaviruses like COVID-19 cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. Some coronaviruses, such as canine and feline coronaviruses, only infect animals and do not infect humans.",Food and Drug Administration,,,,,,,,
"If my pet previously had a species-specific coronavirus, does that make them more or less likely to get COVID-19",There are no data to suggest that current or previous infection with another strain of coronavirus would make your pet more or less likely to get COVID-19.,Food and Drug Administration,,,,,,,,
"If my pet has been vaccinated for species-specific coronavirus, does that make them more or less likely to get COVID-19",Species-specific coronavirus vaccines are unlikely to work against this type of coronavirus because it is a new virus that is different from the species-specific strains of coronavirus targeted by the vaccine.,Food and Drug Administration,,,,,,,,
Is it safe to adopt pets from a shelter or rescue ,"There is no reason to think that any animals, including shelter or rescue pets, in the United States, might be a source of COVID-19. ",Food and Drug Administration,,,,,,,,
Are there going to be any animal drug shortages due to the COVID-19 outbreak ,The FDA has been and is continuing to closely monitor how the COVID-19 outbreak may impact the animal medical product supply chain. ,Food and Drug Administration,,,,,,,,
When was the Middle East Respiratory Syndrome Coronavirus isolated first,"(MERS-CoV) was first isolated in 2012, in a 60-year-old man who died in Jeddah, KSA due to severe acute pneumonia and multiple organ failure",GitHub COVID-QA Dataset,,,,,,,,
Which medical comorbidities most profoundly influenced MERS-CoV outcomes,"if they were obese, immunocompromised, diabetic or had cardiac disease",GitHub COVID-QA Dataset,,,,,,,,
What is the size of bovine coronavirus,31 kb,GitHub COVID-QA Dataset,,,,,,,,
What is the estimated R0 of COVID-19,2.2,GitHub COVID-QA Dataset,,,,,,,,
What is the relationship between SARS-CoV and acute lung injury (ALI),Many infected patients have acute lung injury (ALI),GitHub COVID-QA Dataset,,,,,,,,
What is the relationship between the presence of virus in anal swabs and disease severity in 2019-nCOV,"In the anal swab cohort (Figure 1 (B)), 11 of 28 cases were detected to be anal swab positive, 8 of them (72.7%) were with severe symptoms, which was significantly higher than that 4 (23.5%) of the rest 17 cases without detectable virus in anal were severe cases",GitHub COVID-QA Dataset,,,,,,,,
What is a key assumption of a semi-mechanistic Bayesian hierarchical model used for coronavirus,each intervention has the same effect on the reproduction number across countries and over time,GitHub COVID-QA Dataset,,,,,,,,
